"Date","times","Day_of_Week","variable","value"
2020-05-05,65,3,"HOSPITALIZED_COUNT",270
2020-05-06,66,4,"HOSPITALIZED_COUNT",246
2020-05-07,67,5,"HOSPITALIZED_COUNT",234
2020-05-08,68,6,"HOSPITALIZED_COUNT",246
2020-05-09,69,7,"HOSPITALIZED_COUNT",171
2020-05-10,70,1,"HOSPITALIZED_COUNT",142
2020-05-11,71,2,"HOSPITALIZED_COUNT",232
2020-05-12,72,3,"HOSPITALIZED_COUNT",196
2020-05-13,73,4,"HOSPITALIZED_COUNT",209
2020-05-14,74,5,"HOSPITALIZED_COUNT",206
2020-05-15,75,6,"HOSPITALIZED_COUNT",218
2020-05-16,76,7,"HOSPITALIZED_COUNT",156
2020-05-17,77,1,"HOSPITALIZED_COUNT",117
2020-05-18,78,2,"HOSPITALIZED_COUNT",164
2020-05-19,79,3,"HOSPITALIZED_COUNT",196
2020-05-20,80,4,"HOSPITALIZED_COUNT",151
2020-05-21,81,5,"HOSPITALIZED_COUNT",166
2020-03-02,1,2,"Count",1735
2020-03-03,2,3,"Count",1618
2020-03-04,3,4,"Count",1649
2020-03-05,4,5,"Count",1674
2020-03-06,5,6,"Count",1592
2020-03-07,6,7,"Count",1403
2020-03-08,7,1,"Count",1352
2020-03-09,8,2,"Count",2207
2020-03-10,9,3,"Count",2379
2020-03-11,10,4,"Count",2437
2020-03-12,11,5,"Count",3063
2020-03-13,12,6,"Count",2798
2020-03-14,13,7,"Count",2220
2020-03-15,14,1,"Count",2497
2020-03-16,15,2,"Count",3281
2020-03-17,16,3,"Count",3192
2020-03-18,17,4,"Count",3339
2020-03-19,18,5,"Count",3392
2020-03-20,19,6,"Count",3673
2020-03-21,20,7,"Count",2997
2020-03-22,21,1,"Count",2918
2020-03-23,22,2,"Count",3704
2020-03-24,23,3,"Count",3948
2020-03-25,24,4,"Count",4197
2020-03-26,25,5,"Count",3946
2020-03-27,26,6,"Count",3880
2020-03-28,27,7,"Count",3236
2020-03-29,28,1,"Count",3560
2020-03-30,29,2,"Count",4067
2020-03-31,30,3,"Count",3541
2020-04-01,31,4,"Count",3318
2020-04-02,32,5,"Count",2933
2020-04-03,33,6,"Count",2927
2020-04-04,34,7,"Count",2466
2020-04-05,35,1,"Count",2430
2020-04-06,36,2,"Count",2907
2020-04-07,37,3,"Count",2592
2020-04-08,38,4,"Count",2432
2020-04-09,39,5,"Count",2145
2020-04-10,40,6,"Count",2011
2020-04-11,41,7,"Count",1749
2020-04-12,42,1,"Count",1553
2020-04-13,43,2,"Count",1765
2020-04-14,44,3,"Count",1732
2020-04-15,45,4,"Count",1478
2020-04-16,46,5,"Count",1306
2020-04-17,47,6,"Count",1344
2020-04-18,48,7,"Count",1141
2020-04-19,49,1,"Count",989
2020-04-20,50,2,"Count",1232
2020-04-21,51,3,"Count",1095
2020-04-22,52,4,"Count",1064
2020-04-23,53,5,"Count",1015
2020-04-24,54,6,"Count",984
2020-04-25,55,7,"Count",834
2020-04-26,56,1,"Count",744
2020-04-27,57,2,"Count",969
2020-04-28,58,3,"Count",854
2020-04-29,59,4,"Count",786
2020-04-30,60,5,"Count",688
2020-05-01,61,6,"Count",820
2020-05-02,62,7,"Count",656
2020-05-03,63,1,"Count",600
2020-05-04,64,2,"Count",807
2020-05-05,65,3,"Count",727
2020-05-06,66,4,"Count",740
2020-05-07,67,5,"Count",682
2020-05-08,68,6,"Count",657
2020-05-09,69,7,"Count",550
2020-05-10,70,1,"Count",516
2020-05-11,71,2,"Count",673
2020-05-12,72,3,"Count",622
2020-05-13,73,4,"Count",621
2020-05-14,74,5,"Count",648
2020-05-15,75,6,"Count",635
2020-05-16,76,7,"Count",460
2020-05-17,77,1,"Count",482
2020-05-18,78,2,"Count",629
2020-05-19,79,3,"Count",565
2020-05-20,80,4,"Count",556
2020-05-21,81,5,"Count",576
